Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500189,NDL Ventures Limited,NDLVENTURE,NDL Ventures Ltd,Active,B ,10.00,INE353A01023,Equity,,,,,
500190,Hitech Drilling Services India Ltd.,HITDRDM,Hitech Drilling Services India Ltd,Delisted,B ,10.00,INE555A01015,Equity,,,,,
500191,HMT Limited,HMT,HMT Ltd,Active,Z ,10.00,INE262A01018,Equity,,,,,
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,Prag Bosimi Synthetics Ltd,Active,X ,10.00,INE962B01011,Equity,,,,,
500193,HLV LIMITED,HLVLTD,HLV Ltd,Active,B ,2.00,INE102A01024,Equity,,,,,
500195,Hotline Glass Ltd.,HOTLINGLAS,Hotline Glass Ltd,Delisted,XD,10.00,INE676B01017,Equity,,,,,
500197,"Hytaisun Magnetics Ltd.,",HTSUMAG,Hytaisun Magnetics Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500198,IBP Co. Ltd.,IBP,IBP Company Ltd,Delisted,B ,10.00,INE261A01010,Equity,,,,,
500199,IG Petrochemicals Ltd,IGPL,IG Petrochemicals Ltd,Active,B ,10.00,INE204A01010,Equity,,,,,
500201,India Glycols Ltd,INDIAGLYCO,India Glycols Ltd,Active,A ,5.00,INE560A01023,Equity,,,,,
500202,India Lease Devl. Ltd.,INDLEASE,India Lease Development Ltd,Active,X ,10.00,INE333C01013,Equity,,,,,
500203,"India Polyfibres Ltd.,",INDPOLY,India Polyfibres Ltd,Delisted,B ,10.00,INE860C01015,Equity,,,,,
500204,India Securities Ltd.,INDSEC,India Securities Ltd,Delisted,B ,1.00,INE134A01035,Equity,,,,,
500206,Margo Finance Limited,MARGOFIN,Margo Finance Ltd,Active,X ,10.00,INE680B01019,Equity,,,,,
500207,Indo Rama Synthetics (India) Ltd.,INDORAMA,Indo Rama Synthetics (India) Ltd,Active,B ,10.00,INE156A01020,Equity,,,,,
500208,Indu Nissan Oxo-Chemical Industries,INDUNISS,Indu Nissan Oxo Chemical Industries Ltd,Delisted,X ,10.00,INE599C01019,Equity,,,,,
500209,Infosys Ltd,INFY,Infosys Ltd,Active,A ,5.00,INE009A01021,Equity,,,,,
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,Ingersoll-Rand (India) Ltd,Active,B ,10.00,INE177A01018,Equity,,,,,
500211,Insilco Ltd,INSILCO,Insilco Ltd,Suspended,X ,10.00,INE901A01011,Equity,,,,,
500212,Integrated Financial Services Ltd.,IFSL,Integrated Financial Services Ltd,Delisted,XT,10.00,INE898B01017,Equity,,,,,
500213,International Travel House Ltd,ITHL,International Travel House Ltd-$,Active,X ,10.00,INE262B01016,Equity,,,,,
500214,Ion Exchange (India) Ltd,IONEXCHANG,Ion Exchange India Ltd-$,Active,A ,1.00,INE570A01022,Equity,,,,,
500215,SUNDROP BRANDS LIMITED,SUNDROP,Sundrop Brands Ltd,Active,B ,10.00,INE209A01019,Equity,,,,,
500216,ITC Hotels Ltd Old,ITCHOTEL,ITC Hotels Ltd,Delisted,B ,10.00,INE379A01010,Equity,,,,,
500217,ITW Signode India Ltd,ITWSGDM,ITW Signode India Ltd,Delisted,B ,10.00,INE240A01014,Equity,,,,,
500218,J.K.Pharmachem Ltd.,JKPHARMA,JK Pharmachem Ltd,Suspended,XT,10.00,INE335C01018,Equity,,,,,
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,Jain Irrigation Systems Ltd,Active,A ,2.00,INE175A01038,Equity,,,,,
500220,Jasch Industries Ltd.,JASCH,Jasch Industries Ltd,Active,XT,10.00,INE711C01028,Equity,,,,,
500221,Jaypee Hotels Ltd.,JPHOTEL,Jaypee Hotels Ltd,Delisted,T ,10.00,INE851A01018,Equity,,,,,
500222,JCT Electronics Ltd.,JCTEL,JCT Electronics Ltd,Delisted,XT,1.00,INE264B01020,Equity,,,,,
500223,JCT Ltd,JCTLTD,JCT Ltd,Suspended,Z ,2.50,INE945A01026,Equity,,,,,
500224,Nalwa Sons Investment Ltd,JNDST,JNDST,Delisted,B ,10.00,INE023A01014,Equity,,,,,
500226,Consolidated Finvest & Holdings Limited,CONSOFIN,Consolidated Finvest & Holdings Ltd,Delisted,B ,10.00,INE025A01027,Equity,,,,,
